"ISARIC_4C_Mortality","ISARIC_4C_Deterioration","ISARIC_4C_Mortality_Prob"
11,22.2232563023589,26.9156159068865
12,43.191494010329,32.9079307201458
15,58.3215211992024,51.6393442622951
6,37.6535221295424,7.78378378378378
14,95.6743068660259,44.5749440715884
12,59.4106828610493,32.9079307201458
6,37.1712942290144,7.78378378378378
8,30.7818859555653,14.4486692015209
5,37.2574161050426,7.47422680412371
4,32.8038030359642,4.80519480519481
10,75.2352382410402,22.8999464954521
11,27.1879628856549,26.9156159068865
10,34.8712487712086,22.8999464954521
7,33.0236881789976,11.6953762466002
7,45.7343816021874,11.6953762466002
17,85.957412133348,66.1224489795918
14,86.3647870039767,44.5749440715884
15,47.9100610184472,51.6393442622951
9,31.7962288219559,19.1646191646192
13,41.9712074427636,40.1318888365521
14,36.3744908355981,44.5749440715884
17,71.8768144284752,66.1224489795918
12,32.082626386765,32.9079307201458
8,41.4936747129702,14.4486692015209
3,15.9396604338048,2.31124807395994
7,56.2404863766637,11.6953762466002
12,39.8874938197509,32.9079307201458
7,36.3017954914428,11.6953762466002
15,68.7135876427432,51.6393442622951
9,35.6170044296579,19.1646191646192
14,47.4938230349427,44.5749440715884
14,78.5293653917747,44.5749440715884
16,89.4046632178567,59.1031390134529
14,72.256962858946,44.5749440715884
16,84.3182151512661,59.1031390134529
9,44.7854758409251,19.1646191646192
2,12.547324227122,0.806451612903226
13,78.7323218404161,40.1318888365521
12,54.1072711179231,32.9079307201458
12,33.0996275134798,32.9079307201458
13,70.7697073414759,40.1318888365521
13,34.8270385726593,40.1318888365521
8,26.7648697484854,14.4486692015209
12,41.5796900722284,32.9079307201458
9,36.9661956786308,19.1646191646192
12,28.6114872787691,32.9079307201458
14,78.6799736888522,44.5749440715884
10,13.7917376537437,22.8999464954521
15,68.5089346419102,51.6393442622951
16,68.1019209466785,59.1031390134529
7,24.3014966498528,11.6953762466002
11,41.0773367547624,26.9156159068865
1,24.5604648240959,0.297619047619048
15,61.0557402988374,51.6393442622951
11,46.1860010725713,26.9156159068865
14,36.1738399206213,44.5749440715884
6,40.5828881134311,7.78378378378378
11,47.0810399677043,26.9156159068865
11,50.3306116989678,26.9156159068865
11,34.1735861523259,26.9156159068865
12,54.0376144749606,32.9079307201458
9,28.4342965530911,19.1646191646192
